block;plot;entry;culture;species;biomass
C;32;9;2-mixed;Pea;6.68
C;32;9;2-mixed;Wheat;3.23
D;1;15;2-mixed;Barley;1.34
D;1;15;2-mixed;OSR;0.22
D;2;4;mono;Pea;4.38
D;3;12;2-mixed;Barley;1.74
D;3;12;2-mixed;Bean;2.99
D;4;26;3-mixed;Barley;2.51
D;4;26;3-mixed;Bean;7.05
D;4;26;3-mixed;Linseed;0.45
D;5;9;2-mixed;Pea;2.77
D;5;9;2-mixed;Wheat;1.93
D;6;11;2-mixed;OSR;1.86
D;6;11;2-mixed;Wheat;1.16
D;7;19;2-mixed;Linseed;0.87
D;7;19;2-mixed;Pea;4.56
D;8;5;mono;Linseed;1.55
D;9;23;3-mixed;Bean;3.20
D;9;23;3-mixed;OSR;1.81
D;9;23;3-mixed;Wheat;1.62
D;10;28;3-mixed;Barley;2.45
D;10;28;3-mixed;Linseed;0.69
D;10;28;3-mixed;Pea;2.07
D;11;18;2-mixed;Bean;3.50
D;11;18;2-mixed;OSR;4.21
D;12;25;3-mixed;OSR;3.21
D;12;25;3-mixed;Pea;3.43
D;12;25;3-mixed;Wheat;0.37
D;13;22;3-mixed;Bean;4.06
D;13;22;3-mixed;Linseed;0.56
D;13;22;3-mixed;Wheat;3.26
D;14;20;2-mixed;OSR;8.48
D;14;20;2-mixed;Pea;2.68
D;15;21;2-mixed;Linseed;0.82
D;15;21;2-mixed;OSR;2.85
D;16;14;2-mixed;Barley;4.14
D;16;14;2-mixed;Linseed;0.73
D;18;8;2-mixed;Bean;7.15
D;18;8;2-mixed;Wheat;1.75
D;19;16;2-mixed;Bean;5.71
D;19;16;2-mixed;Pea;4.16
D;21;2;mono;Barley;1.59
D;22;13;2-mixed;Barley;2.69
D;22;13;2-mixed;Pea;1.74
D;23;17;2-mixed;Bean;8.52
D;23;17;2-mixed;Linseed;1.10
D;24;3;mono;Bean;3.33
D;25;29;3-mixed;Barley;2.62
D;25;29;3-mixed;OSR;2.30
D;25;29;3-mixed;Pea;4.17
D;27;1;mono;Wheat;0.99
D;28;27;3-mixed;Barley;2.65
D;28;27;3-mixed;Bean;5.88
D;28;27;3-mixed;OSR;1.21
D;29;6;mono;OSR;2.39
D;30;24;3-mixed;Linseed;0.72
D;30;24;3-mixed;Pea;3.92
D;30;24;3-mixed;Wheat;3.16
D;31;10;2-mixed;Linseed;0.49
D;31;10;2-mixed;Wheat;2.59
D;32;7;2-mixed;Barley;3.19
D;32;7;2-mixed;Wheat;1.80
E;1;13;2-mixed;Barley;2.25
E;1;13;2-mixed;Pea;3.03
E;2;16;2-mixed;Bean;9.49
E;2;16;2-mixed;Pea;3.43
E;3;12;2-mixed;Barley;2.37
E;3;12;2-mixed;Bean;4.21
E;5;7;2-mixed;Barley;0.72
E;5;7;2-mixed;Wheat;0.92
E;6;2;mono;Barley;2.20
E;7;10;2-mixed;Linseed;0.58
E;7;10;2-mixed;Wheat;1.86
E;8;20;2-mixed;OSR;3.03
E;8;20;2-mixed;Pea;3.66
E;9;5;mono;Linseed;0.84
E;10;25;3-mixed;OSR;6.91
E;10;25;3-mixed;Pea;3.23
E;10;25;3-mixed;Wheat;1.12
E;11;22;3-mixed;Bean;4.44
E;11;22;3-mixed;Linseed;0.30
E;11;22;3-mixed;Wheat;3.05
E;12;3;mono;Bean;3.11
E;14;26;3-mixed;Barley;4.84
E;14;26;3-mixed;Bean;7.86
E;14;26;3-mixed;Linseed;0.41
E;15;24;3-mixed;Linseed;0.87
E;15;24;3-mixed;Pea;1.17
E;15;24;3-mixed;Wheat;1.04
E;16;9;2-mixed;Pea;5.31
E;16;9;2-mixed;Wheat;2.29
E;17;27;3-mixed;Barley;0.82
E;17;27;3-mixed;Bean;5.75
E;17;27;3-mixed;OSR;1.39
E;18;23;3-mixed;Bean;6.66
E;18;23;3-mixed;OSR;7.24
E;18;23;3-mixed;Wheat;1.27
E;19;11;2-mixed;OSR;4.34
E;19;11;2-mixed;Wheat;0.76
E;20;17;2-mixed;Bean;5.07
E;20;17;2-mixed;Linseed;0.77
E;21;15;2-mixed;Barley;1.59
E;21;15;2-mixed;OSR;1.49
E;22;14;2-mixed;Barley;0.80
E;22;14;2-mixed;Linseed;0.40
E;23;1;mono;Wheat;1.90
E;24;28;3-mixed;Barley;1.27
E;24;28;3-mixed;Linseed;0.35
E;24;28;3-mixed;Pea;2.62
E;26;19;2-mixed;Linseed;0.92
E;26;19;2-mixed;Pea;3.49
E;27;21;2-mixed;Linseed;0.71
E;27;21;2-mixed;OSR;1.28
E;28;18;2-mixed;Bean;5.21
E;28;18;2-mixed;OSR;10.73
E;29;6;mono;OSR;2.64
E;30;4;mono;Pea;3.17
E;31;29;3-mixed;Barley;3.56
E;31;29;3-mixed;OSR;2.93
E;31;29;3-mixed;Pea;2.48
E;32;8;2-mixed;Bean;3.96
E;32;8;2-mixed;Wheat;1.45
F;1;S3;single;Bean;6.89
F;3;S6;single;OSR;29.60
F;6;S2;single;Barley;17.99
F;7;S4;single;Pea;7.42
F;8;S3;single;Bean;7.01
F;9;S1;single;Wheat;7.88
F;10;S3;single;Bean;8.96
F;11;S6;single;OSR;40.39
F;12;S4;single;Pea;3.25
F;13;S6;single;OSR;32.42
F;14;S1;single;Wheat;6.88
F;18;S4;single;Pea;8.62
F;19;S5;single;Linseed;0.90
F;20;S2;single;Barley;9.80
F;23;S5;single;Linseed;1.20
F;28;S1;single;Wheat;5.34
F;30;S5;single;Linseed;1.30
F;32;S2;single;Barley;8.93
G;1;S5;single;Linseed;3.42
G;2;S6;single;OSR;5.83
G;5;S5;single;Linseed;2.53
G;9;S4;single;Pea;8.28
G;11;S3;single;Bean;12.32
G;14;S2;single;Barley;11.65
G;15;S2;single;Barley;18.15
G;17;S5;single;Linseed;1.34
G;18;S4;single;Pea;7.00
G;19;S1;single;Wheat;13.08
G;21;S6;single;OSR;0.93
G;22;S1;single;Wheat;7.98
G;23;S3;single;Bean;11.03
G;24;S6;single;OSR;10.31
G;25;S3;single;Bean;11.14
G;27;S2;single;Barley;11.61
G;30;S1;single;Wheat;17.37
G;31;S4;single;Pea;10.17
H;1;2;mono;Barley;1.39
H;2;3;mono;Bean;8.29
H;3;15;2-mixed;Barley;1.02
H;3;15;2-mixed;OSR;0.72
H;4;21;2-mixed;Linseed;0.69
H;4;21;2-mixed;OSR;NA
H;5;20;2-mixed;OSR;5.33
H;5;20;2-mixed;Pea;3.35
H;6;4;mono;Pea;7.56
H;7;10;2-mixed;Linseed;1.25
H;7;10;2-mixed;Wheat;2.26
H;9;5;mono;Linseed;0.43
H;10;6;mono;OSR;1.66
H;11;8;2-mixed;Bean;4.30
H;11;8;2-mixed;Wheat;2.40
H;12;13;2-mixed;Barley;3.23
H;12;13;2-mixed;Pea;4.76
H;13;26;3-mixed;Barley;2.62
H;13;26;3-mixed;Bean;8.68
H;13;26;3-mixed;Linseed;0.36
H;14;7;2-mixed;Barley;2.03
H;14;7;2-mixed;Wheat;2.48
H;15;14;2-mixed;Barley;6.49
H;15;14;2-mixed;Linseed;0.64
H;16;22;3-mixed;Bean;NA
H;16;22;3-mixed;Linseed;2.18
H;16;22;3-mixed;Wheat;4.47
H;17;25;3-mixed;OSR;1.50
H;17;25;3-mixed;Pea;4.08
H;17;25;3-mixed;Wheat;0.88
H;18;29;3-mixed;Barley;1.51
H;18;29;3-mixed;OSR;0.51
H;18;29;3-mixed;Pea;2.22
H;20;19;2-mixed;Linseed;0.98
H;20;19;2-mixed;Pea;6.44
H;21;17;2-mixed;Bean;7.00
H;21;17;2-mixed;Linseed;0.50
H;22;1;mono;Wheat;0.80
H;23;12;2-mixed;Barley;3.89
H;23;12;2-mixed;Bean;7.71
H;24;18;2-mixed;Bean;10.70
H;24;18;2-mixed;OSR;4.60
H;26;16;2-mixed;Bean;7.43
H;26;16;2-mixed;Pea;7.62
H;27;11;2-mixed;OSR;NA
H;27;11;2-mixed;Wheat;1.83
H;28;27;3-mixed;Barley;6.37
H;28;27;3-mixed;Bean;9.94
H;28;27;3-mixed;OSR;NA
H;29;9;2-mixed;Pea;7.60
H;29;9;2-mixed;Wheat;3.41
H;30;28;3-mixed;Barley;4.50
H;30;28;3-mixed;Linseed;0.44
H;30;28;3-mixed;Pea;3.73
H;31;23;3-mixed;Bean;7.04
H;31;23;3-mixed;OSR;4.07
H;31;23;3-mixed;Wheat;1.81
H;32;24;3-mixed;Linseed;0.01
H;32;24;3-mixed;Pea;5.60
H;32;24;3-mixed;Wheat;3.99
